Date,Open,High,Low,Close,Adj Close,Volume,OBV,12_day_EMA,30_day_EMA,MACD,Change,Gain,Loss ,Avg Gain,Avg Loss,RS,RSI
2016-05-09,42.310001,42.490002,41.119999,41.650002,36.638519,7049800,0,,,,,,,,,,
2016-05-10,41.619999,42.889999,41.580002,42.869999,37.711727,7969500,7969500,,,,1.219997,1.219997,0,,,,
2016-05-11,42.869999,44.43,42.310001,43.68,38.424255,8913000,16882500,,,,0.810001,0,0,,,,
2016-05-12,44.049999,44.689999,43.049999,43.73,38.46825,8380800,25263300,,,,0.05,0.789024,0,,,,
2016-05-13,43.369999,43.919998,42.84,43.02,37.843678,6203300,19060000,,,,-0.71,0,0.71,,,,
2016-05-16,43.790001,44.509998,43.790001,44.080002,38.776142,7837900,26897900,,,,1.060002,1.247963,0,,,,
2016-05-17,43.880001,44.450001,43.459999,43.779999,38.512226,11746900,15151000,,,,-0.300003,0,0.300003,,,,
2016-05-18,43.380001,44.119999,43.049999,43.34,38.344135,8155000,6996000,,,,-0.439999,0,0.439999,,,,
2016-05-19,42.75,43.619999,42.07,43.360001,38.361828,6284300,13280300,,,,0.020001,0,0,,,,
2016-05-20,43.52,43.990002,43.040001,43.580002,38.55648,6397700,19678000,,,,0.220001,0,0,,,,
2016-05-23,43.200001,43.919998,43,43.59,38.565311,6753800,26431800,,,,0.009998,0,0,,,,
2016-05-24,43.919998,43.98,43.290001,43.459999,38.450298,5989300,20442500,43.34500033,,,-0.130001,0.65905,0.130001,,,,
2016-05-25,43.900002,45.060001,43.849998,44.900002,39.724308,6456200,26898700,43.61583367,,,1.440003,1.285546,0,,,,
2016-05-26,45.419998,45.779999,44.689999,44.73,39.573902,7813700,19085000,43.77083375,,,-0.170002,0,0.170002,,,,
2016-05-27,44.27,44.43,43.849998,44.330002,39.220024,6068600,13016400,43.82500058,,,-0.399998,0.423088,0.399998,0.401762,0.153571643,2.616121001,72.34605812
2016-05-31,44.59,45.27,43.68,43.790001,38.74226,9511600,3504800,43.83000067,,,-0.540001,0,0.540001,0.314619357,0.192143143,1.637421729,62.08418286
2016-06-01,43.369999,44.080002,43.209999,44.060001,38.981136,7262100,10766900,43.91666742,,,0.27,0.105789,0,0.322175714,0.192143143,1.676748436,62.6412409
2016-06-02,43.75,44.630001,43.450001,44.380001,39.264248,7016600,17783500,43.94166733,,,0.32,0,0,0.265816857,0.192143143,1.3834314,58.04368441
2016-06-03,44.389999,44.720001,43.700001,44.18,39.087307,6086800,11696700,43.97500075,,,-0.200001,0.105774,0.200001,0.273372143,0.155714643,1.755596892,63.7102218
2016-06-06,44.799999,45.630001,44.470001,45.52,40.272835,7813100,19509800,44.15666742,,,1.34,0.414948,0,0.213871071,0.155714643,1.373480792,57.86778628
2016-06-07,45.970001,47.57,45.799999,47.540001,42.05999,11227800,30737600,44.50500075,,,2.020001,1.749336,0,0.338823643,0.134285857,2.523152104,71.61632622
2016-06-08,47.950001,48.450001,47.439999,47.490002,42.015759,9641000,21096600,44.83083408,,,-0.049999,0,0.049999,0.338823643,0.106428714,3.18357358,76.09699027
2016-06-09,46.720001,47.139999,46.549999,46.57,41.201809,5425100,15671500,45.07916742,,,-0.920002,0,0.920002,0.338823643,0.172143143,1.968266858,66.31030673
2016-06-10,45.900002,46.119999,44.259998,44.509998,39.379269,9008300,6663200,45.16666733,,,-2.060002,0,2.060002,0.338823643,0.319286143,1.061191193,51.48436481
2016-06-13,43.959999,44.959999,43.799999,43.880001,38.821896,7394900,-731700,45.08166725,,,-0.629997,0.097618,0.629997,0.345796357,0.364285929,0.949244343,48.69806838
2016-06-14,43.84,44.599998,43.349998,44.32,39.211163,7324500,6592800,45.04750058,,,0.439999,0,0,0.298721357,0.355000143,0.841468273,45.6955075
2016-06-15,43.91,44.509998,43.41,43.709999,38.671478,6898000,-305200,44.99583367,,,-0.610001,0,0.610001,0.206896643,0.398571643,0.519095241,34.17134272
2016-06-16,43.200001,43.32,42.220001,43.16,38.184891,7010100,-7315300,44.94333358,,,-0.549999,0.357979,0.549999,0.232466571,0.425714286,0.546062415,35.31955824
2016-06-17,43.599998,44.740002,43.509998,44.150002,39.060764,9672800,2357500,44.95083367,,,0.990002,0.406837,0,0.231305786,0.397143,0.582424432,36.80582908
2016-06-20,45,45.360001,44.57,44.689999,39.538513,8374600,10732100,44.97666683,44.2016671,0.774999733,0.539997,0.846177,0,0.291747,0.3585715,0.81363689,44.86217138
2016-06-21,44.580002,45.080002,44.25,44.799999,39.635838,6783300,17515400,45.02833342,44.306667,0.721666417,0.11,0.512596,0,0.320804643,0.3585715,0.894674125,47.22047518
2016-06-22,45.119999,45.18,43.91,43.990002,38.919205,8649100,8866300,44.90083358,44.34400043,0.55683315,-0.809997,0,0.809997,0.320804643,0.416428429,0.77037162,43.51468421
2016-06-23,44.599998,45.639999,44.27,45.630001,40.370159,7714800,16581100,44.74166692,44.40900047,0.33266645,1.639999,1.749306,0,0.438199786,0.402142643,1.089662571,52.14538395
2016-06-24,43.32,44.419998,42.919998,43.169998,38.193726,13630200,2950900,44.38166658,44.39033373,-0.00866715,-2.460003,0,2.460003,0.408560643,0.577857143,0.707027071,41.41862088
2016-06-27,42.509998,42.66,40.52,40.779999,36.079231,11940900,-8990000,43.8991665,44.31566703,-0.416500533,-2.389999,0,2.389999,0.283608071,0.748571357,0.37886578,27.47662502
2016-06-28,41.970001,42.139999,41.439999,41.950001,37.114357,8996500,6500,43.68583342,44.244667,-0.558833583,1.170002,1.033303,0,0.357415429,0.745,0.479752254,32.42111999
2016-06-29,42.5,44.220001,42.189999,43.91,38.848434,10234900,10241400,43.68833333,44.24900037,-0.560667033,1.959999,1.456428,0,0.461446,0.679285571,0.679310763,40.45176022
2016-06-30,43.720001,44.119999,43.209999,43.599998,38.574162,9342200,899200,43.62833317,44.25766697,-0.6293338,-0.310002,1.147225,0.310002,0.543390643,0.554285571,0.980344196,49.50372759
2016-07-01,43.849998,44.419998,43.5,43.509998,38.494541,9611800,-8712600,43.61166642,44.26266687,-0.65100045,-0.09,0,0.09,0.536417929,0.515714357,1.040145425,50.98388635
2016-07-05,42.720001,42.77,41.369999,41.700001,36.893173,10189600,-18902200,43.48999983,44.20000017,-0.710000333,-1.809997,0,1.809997,0.536417929,0.644999857,0.831655888,45.40459229
2016-07-06,41.549999,42.029999,41.169998,41.900002,37.070126,7023900,-11878300,43.30249983,44.1436669,-0.841167067,0.200001,0.821769,0,0.595115714,0.601428357,0.989503915,49.73621351
2016-07-07,42.299999,42.790001,41.189999,41.509998,36.725071,8827900,-20706200,43.03749975,44.07866687,-1.041167117,-0.390004,0,0.390004,0.569545786,0.590000143,0.965331607,49.11800144
2016-07-08,42.349998,42.43,41.619999,42.299999,37.424007,10801900,-9904300,42.82916642,43.9920001,-1.162833683,0.790001,1.399444,0,0.640446286,0.590000143,1.085501917,52.04991221
2016-07-11,42.740002,42.959999,42.400002,42.450001,37.556725,6345700,-3558600,42.700833,43.91600013,-1.215167133,0.150002,0.504471,0,0.616038714,0.590000143,1.044133161,51.07950797
2016-07-12,43.16,44.290001,43.110001,43.799999,38.751114,10303100,6744500,42.54833283,43.89833337,-1.350000533,1.349998,1.130951,0,0.660206929,0.590000143,1.118994524,52.80780631
2016-07-13,43.799999,44.049999,42.110001,42.869999,37.92831,9203700,-2459200,42.52333292,43.86766663,-1.344333717,-0.93,0,0.93,0.660206929,0.598571786,1.102970345,52.44821201
2016-07-14,43.509998,43.52,42.68,43.02,38.06102,6580800,4121600,42.70999967,43.83299993,-1.123000267,0.150001,0.040696,0,0.538163357,0.598571786,0.899079058,47.34289781
2016-07-15,43.27,43.490002,42.68,42.939999,37.990238,5898400,-1776800,42.7924995,43.78499987,-0.992500367,-0.080001,0.268493,0.080001,0.557341429,0.428571643,1.300462684,56.53048376
2016-07-18,42.73,42.939999,42.209999,42.709999,37.786755,5261500,-7038300,42.69249942,43.73599983,-1.043500417,-0.23,0,0.23,0.557341429,0.274286,2.031971843,67.01816337
2016-07-19,42.450001,42.650002,41.700001,41.91,37.078968,7262300,-14300600,42.55166625,43.6156665,-1.06400025,-0.799999,0,0.799999,0.483534071,0.331428786,1.458938064,59.3320379
2016-07-20,41.720001,42.330002,41.279999,42.029999,37.185135,6695900,-7604700,42.428333,43.43199977,-1.003666767,0.119999,0,0,0.3795035,0.331428786,1.145052923,53.38110361
2016-07-21,41.799999,42.209999,40.880001,41.040001,36.526516,8733800,-16338500,42.373333,43.21699973,-0.843666733,-0.989998,0,0.989998,0.297558857,0.379999929,0.783049771,43.91631595
2016-07-22,41.110001,41.290001,40.619999,40.759998,36.277313,7306100,-23644600,42.27833267,43.023333,-0.745000333,-0.280003,0.219673,0.280003,0.313249786,0.393571571,0.795915683,44.31809858
2016-07-25,40.43,40.669998,39.810001,40.240002,35.814503,7482400,-31127000,42.17249967,42.8809998,-0.708500133,-0.519996,0,0.519996,0.313249786,0.301428643,1.039217053,50.96157133
2016-07-26,40.049999,40.860001,39.950001,40.790001,36.304012,5896000,-25231000,42.0466665,42.7779998,-0.7313333,0.549999,0,0,0.254552,0.301428643,0.844485108,45.78432779
2016-07-27,40.939999,41.439999,40,40.07,35.663197,10159400,-35390400,41.84833308,42.63633313,-0.78800005,-0.720001,0,0.720001,0.254552,0.324999857,0.783237267,43.9222128
2016-07-28,40.25,40.77,39.669998,40.259998,35.832298,11526700,-23863700,41.553333,42.5213331,-0.9680001,0.189998,0,0,0.154591714,0.324999857,0.475667021,32.23403481
2016-07-29,39.77,40.91,39.669998,40.82,36.330723,8138900,-15724800,41.38249975,42.4433331,-1.06083335,0.560002,0.561416,0,0.158659214,0.324999857,0.488182412,32.80393638
2016-08-01,40.41,40.419998,39.419998,39.610001,35.253788,9592300,-25317100,41.09833317,42.29199973,-1.193666567,-1.209999,0,1.209999,0.077877,0.411428357,0.189284474,15.9158282
